State,ReportNumber,ReportingLoss,TotalLoss,MedianLoss
Alabama,18735.0,21.0,12996616 ,299.0
Alaska,2806.0,22.0,5208674 ,300.0
Arizona,33383.0,20.0,29656309 ,346.0
Arkansas,10257.0,21.0,9617911 ,260.0
California,157640.0,23.0,187067645 ,375.0
Colorado,26345.0,23.0,28705310 ,303.0
Connecticut,14299.0,22.0,13806923 ,277.0
Delaware,5137.0,30.0,5686192 ,338.0
District of Columbia,4559.0,21.0,3547099 ,295.0
Florida,97629.0,22.0,89608573 ,329.0
Georgia,40476.0,23.0,32210758 ,294.0
Hawaii,4898.0,26.0,6130187 ,399.0
Idaho,6814.0,21.0,7271173 ,332.0
Illinois,46366.0,23.0,35281532 ,254.0
Indiana,23652.0,22.0,15847444 ,270.0
Iowa,11013.0,19.0,9176202 ,269.0
Kansas,11279.0,21.0,10022986 ,300.0
Kentucky,16410.0,20.0,10528777 ,250.0
Louisiana,14474.0,22.0,11180699 ,300.0
Maine,5081.0,22.0,3294979 ,250.0
Maryland,28290.0,23.0,27651975 ,335.0
Massachusetts,26486.0,23.0,25653339 ,288.0
Michigan,36582.0,21.0,26870563 ,250.0
Minnesota,21924.0,21.0,18522828 ,300.0
Mississippi,9532.0,21.0,7582174 ,276.0
Missouri,24886.0,22.0,20831968 ,255.0
Montana,4619.0,18.0,3618953 ,300.0
Nebraska,6856.0,20.0,4379161 ,300.0
Nevada,16740.0,21.0,15245622 ,395.0
New Hampshire,5960.0,22.0,5139933 ,260.0
New Jersey,34544.0,25.0,32666461 ,305.0
New Mexico,8331.0,21.0,11209046 ,390.0
New York,80261.0,23.0,82611802 ,300.0
North Carolina,42584.0,21.0,31641561 ,300.0
North Dakota,2058.0,26.0,2687486 ,384.0
Ohio,46449.0,21.0,31962085 ,240.0
Oklahoma,12996.0,20.0,10287153 ,268.0
Oregon,21566.0,19.0,15545451 ,250.0
Pennsylvania,52651.0,23.0,36669940 ,252.0
Puerto Rico,2228.0,39.0,3852942 ,308.0
Rhode Island,3905.0,23.0,2346431 ,257.0
South Carolina,19694.0,22.0,16133990 ,297.0
South Dakota,2322.0,22.0,1542030 ,251.0
Tennessee,27702.0,20.0,20575466 ,275.0
Texas,101187.0,23.0,100899560 ,332.0
Utah,11088.0,22.0,9117212 ,300.0
Vermont,2201.0,24.0,2303472 ,300.0
Virginia,36876.0,22.0,33935231 ,300.0
Washington,36118.0,20.0,29175178 ,300.0
West Virginia,7349.0,20.0,6553831 ,269.0
Wisconsin,22228.0,22.0,15063040 ,236.0
Wyoming,1964.0,20.0,2288833 ,250.0
