State,Category,Reports,Percentage
Alabama,Identity Theft,8454.0,22.0
Alabama,Imposter Scams,6793.0,18.0
Alabama,"Credit Bureaus, Information Furnishers and Report Users",2850.0,7.0
Alabama,Telephone and Mobile Services,2521.0,7.0
Alabama,"Prizes, Sweepstakes and Lotteries",2449.0,6.0
Alabama,Debt Collection,2382.0,6.0
Alabama,Banks and Lenders,1734.0,5.0
Alabama,Online Shopping and Negative Reviews,1679.0,4.0
Alabama,Auto Related,1250.0,3.0
Alabama,Internet Services,659.0,2.0
Alaska,Imposter Scams,975.0,23.0
Alaska,Identity Theft,539.0,13.0
Alaska,"Prizes, Sweepstakes and Lotteries",377.0,9.0
Alaska,Telephone and Mobile Services,355.0,8.0
Alaska,Online Shopping and Negative Reviews,255.0,6.0
Alaska,Banks and Lenders,174.0,4.0
Alaska,Auto Related,143.0,3.0
Alaska,Debt Collection,128.0,3.0
Alaska,Internet Services,127.0,3.0
Alaska,Health Care,107.0,3.0
Arizona,Imposter Scams,11567.0,19.0
Arizona,Identity Theft,10744.0,17.0
Arizona,Telephone and Mobile Services,5305.0,9.0
Arizona,Banks and Lenders,3101.0,5.0
Arizona,Debt Collection,2787.0,5.0
Arizona,Auto Related,2717.0,4.0
Arizona,Online Shopping and Negative Reviews,2599.0,4.0
Arizona,"Prizes, Sweepstakes and Lotteries",2524.0,4.0
Arizona,"Credit Bureaus, Information Furnishers and Report Users",2338.0,4.0
Arizona,Internet Services,1583.0,3.0
Arkansas,Identity Theft,4525.0,23.0
Arkansas,Imposter Scams,3813.0,19.0
Arkansas,"Prizes, Sweepstakes and Lotteries",1361.0,7.0
Arkansas,Telephone and Mobile Services,1162.0,6.0
Arkansas,Debt Collection,1081.0,5.0
Arkansas,Online Shopping and Negative Reviews,1013.0,5.0
Arkansas,"Credit Bureaus, Information Furnishers and Report Users",862.0,4.0
Arkansas,Banks and Lenders,828.0,4.0
Arkansas,Auto Related,592.0,3.0
Arkansas,Internet Services,394.0,2.0
California,Identity Theft,101639.0,29.0
California,Imposter Scams,62869.0,18.0
California,"Credit Bureaus, Information Furnishers and Report Users",19050.0,6.0
California,Telephone and Mobile Services,18356.0,5.0
California,Banks and Lenders,16497.0,5.0
California,Online Shopping and Negative Reviews,15710.0,5.0
California,Debt Collection,13447.0,4.0
California,Auto Related,10105.0,3.0
California,Internet Services,9212.0,3.0
California,"Prizes, Sweepstakes and Lotteries",8287.0,2.0
Colorado,Imposter Scams,9958.0,22.0
Colorado,Identity Theft,6272.0,14.0
Colorado,Telephone and Mobile Services,2974.0,7.0
Colorado,Online Shopping and Negative Reviews,2574.0,6.0
Colorado,Banks and Lenders,2395.0,5.0
Colorado,Auto Related,1843.0,4.0
Colorado,"Credit Bureaus, Information Furnishers and Report Users",1781.0,4.0
Colorado,Debt Collection,1738.0,4.0
Colorado,"Prizes, Sweepstakes and Lotteries",1725.0,4.0
Colorado,Internet Services,1378.0,3.0
Connecticut,Imposter Scams,5888.0,22.0
Connecticut,Identity Theft,4564.0,17.0
Connecticut,Banks and Lenders,1720.0,6.0
Connecticut,Telephone and Mobile Services,1450.0,5.0
Connecticut,Online Shopping and Negative Reviews,1414.0,5.0
Connecticut,"Credit Bureaus, Information Furnishers and Report Users",1360.0,5.0
